Unigram Top 50,Unigram Bottom 50,Bigram Top 50,Bigram Bottom 50
ak,dövüş,milletlerarası,o
ata,tövbe,kılıklandırmak,füg
âr,usul,kaçırılmak,oh!
ama,içişleri,karmakarışık,ağu
amma,ulûm,çaldırılmak,od
ara,fanus,telaşlandırmak,ab
an,amfi,tırtıllanmak,of
ân,öhö,çırılçıplak,uf
âl,aval,çırçıplak,duo
ek,özbeöz,ığıl ığıl,düo
ana,önsöz,kalınbacaklılar,fob
et,sitil,tırmalamak,ev
ala,inbat,ballandırmak,oy
ad,mösyö,sallandırmak,flu
ada,övgü,ıralamak,ad
kak,göre göre,ilıcalar,dü
ait,nafıa,çaktırılmak,eh
aid,sövgü,çırçır,golf
tak,deni,dallandırmak,hol
kat,şenî,kararlama,af
akak,öğücü,kırklareli,püf
kaka,gölköy,karaçalı,ey
tat,şoför,karışılmak,su
atak,göz,terelelli,alp
taka,pöf,alırlık,yiv
akat,malumatfuruş,kalakalmak,us
el,kârhane,yarmalamak,sulh
ıra,mihanik,sarmalamak,uz
araka,dükkân,karılaşmak,bu
kara,dükkan,çığırmak,fao
arka,göğüs,yarılamak,öd
akar,özalp,karşılıklı,öhö
kar,föy,bulandırılmak,tüy
ark,övüş,arılamak,üs-
ard,öğüş,yaralamak,üs
ard-,çözgü,kırılacak,ah
art,öpücük,aşırılmak,puf
ağu,ruhsatiye,ayrancılar,tüh
akma,dövdü,karıştırmak,ay
kama,köseköy,karıştıracak,kâb
atama,döngü,armacılık,kov
im,göbekboyu,aralamak,ip
atma,cingöz,karışlamak,öv
taam,cennetköy,batırılmak,pöf
tam,cimnastik,kararmak,pof
mat,gövde,akaretler,huy
arama,yüzgörümü,şırlamak,bulûz
arma,öf !,kançılar,buğu
âya,öf,hararetlenmek,ez
aya,öğüngen,tekrarlama,ekzos
